life	인생
job	직업
earth	지구
problem	문제
story	이야기
lot	많이
name	이름
hand	손
place	장소
work	일
make	만들다
different	다른
important	중요한
person	사람
clothes	옷
movie	영화
activity	활동
example	예
letter	편지
fire	불
part	부분
plan	계획
plant	식물
fun	재미
listen	듣다
learn	배우다
each	각각
same	같은
bird	새
trip	여행
vacation	휴가
summer	여름
spring	봄
autumn	가을
winter	겨울
space	공간
course	과정
street	거리
paper	종이
newspaper	신문
face	얼굴
mind	마음
volunteer	자원봉사자
visit	방문
start	시작
light	빛
enjoy	즐기다
watch	시계
win	이기다
clean	깨끗한
famous	유명한
special	특별한
just	단지
nature	자연
restaurant	식당
group	집단
habit	습관
culture	문화
information	정보
advertisement	광고
science	과학
gene	유전자
war	전쟁
store	가게
sound	소리
fly	날다
easy	쉬운
poor	가난한
fast	빨리
back	뒤
always	언제나
history	역사
state	상태
soldier	군인
village	마을
office	사무실
island	섬
piece	조각
rock	바위
line	선
cook	요리사
end	끝
remember	기억하다
wear	입다
send	보내다
hot	뜨거운
early	일찍
often	자주
sometimes	때때로
pet	애완동물
vegetable	채소
leaf	잎
forest	숲
area	지역
neighbor	이웃
art	미술
poem	시
subject	주제
bottle	병
machine	기계
fact	사실
rule	규칙
die	죽다
busy	바쁜
sick	아픈
health	건강
holiday	공휴일
goal	목표
order	순서
result	결과
